Station,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Line_1,Line_2
Pentagon City,"15,783","16,176","16,339","16,803","16,503","17,197","17,023","16,382","15,589","15,623",Blue,Yellow
Potomac Ave,"3,421","3,651","3,583","3,824","4,098","4,144","4,050","3,978","3,869","3,834",Blue,Orange
Prince George's Plaza,"4,637","4,872","4,903","5,034","5,093","5,309","5,374","5,336","5,120","5,133",Green,
Rhode Island Ave,"5,491","5,757","6,046","6,144","6,121","5,651","5,227","5,645","5,896","6,070",Red,
Rockville,"4,237","4,365","4,572","4,736","4,880","4,927","4,812","4,834","4,900","4,769",Red,
Rosslyn,"16,224","16,770","15,462","17,760","16,941","18,122","17,158","16,718","15,632","15,460",Blue,Orange
Shady Grove,"13,360","13,894","14,439","14,390","14,107","13,945","13,856","13,870","13,444","13,308",Red,
Shaw,"3,450","3,679","3,804","4,029","4,256","4,290","4,439","4,696","4,751","5,044",Green,
Silver Spring,"13,078","14,032","14,777","15,155","14,077","13,421","13,471","13,621","13,057","13,195",Red,
Smithsonian,"12,234","12,465","11,597","12,027","12,764","12,895","12,603","11,946","10,786","10,911",Blue,Orange
Southern Avenue,"5,916","6,278","6,356","6,537","6,263","5,931","5,776","5,909","5,523","5,349",Green,
Stadium,"5,608","5,341","5,329","3,235","3,062","3,559","3,077","3,069","2,873","3,022",Blue,Orange
Suitland,"6,039","6,214","6,510","6,631","6,453","6,668","6,417","6,396","5,924","5,677",Green,
Takoma,"6,201","6,362","6,466","6,664","6,811","6,685","6,488","6,143","5,823","5,813",Red,
Tenleytown,"6,687","7,563","7,493","7,401","7,290","7,091","6,677","7,220","7,074","6,736",Red,
Twinbrook,"4,531","4,763","4,805","4,943","4,628","4,587","4,773","4,632","4,569","4,470",Red,
U Street,"4,790","5,406","5,934","6,567","7,115","7,183","7,048","7,238","7,501","7,968",Green,
Union Station,"31,864","32,596","32,935","34,383","34,465","32,745","33,697","33,250","32,975","32,465",Red,
Van Dorn Street,"3,679","3,835","3,825","3,828","3,689","3,792","3,653","3,587","3,380","3,374",Blue,
Van Ness,"7,094","7,462","7,730","7,648","7,276","7,155","7,559","6,699","6,414","6,505",Red,
Vienna,"12,832","13,177","13,143","13,642","13,759","13,967","13,682","13,773","13,141","12,947",Orange,
Virginia Square,"3,289","3,608","3,886","4,016","4,067","4,103","3,953","3,733","3,695","3,721",Orange,
Waterfront,"3,146","3,163","3,201","3,175","3,067","3,974","4,236","4,536","4,347","4,024",Green,
West Falls Church,"9,649","10,124","10,290","10,748","10,499","10,836","10,740","10,891","10,369","10,597",Orange,
West Hyattsville,"3,415","3,656","3,839","3,925","3,694","3,809","3,855","3,951","3,905","3,995",Green,
Wheaton,"4,468","4,887","4,874","4,754","4,653","4,543","4,472","4,374","4,094","4,227",Red,
White Flint,"3,682","3,714","4,010","4,097","4,096","4,210","4,266","4,151","3,951","3,889",Red,
Woodley Park,"7,566","8,077","8,471","8,726","8,292","7,607","7,864","7,915","7,734","7,240",Red,
Total,"686,185","713,703","724,667","750,431","746,017","748,929","743,962","744,918","725,770","721,804",,
