Year,Month,Day,Registered,Casual
2013,10,20,6052,2542
2013,10,21,7725,1331
2013,10,22,8338,736
2013,10,23,7354,616
2013,10,24,7305,592
2013,10,25,7040,913
2013,10,26,5788,2195
2013,10,27,5641,2381
2013,10,28,7426,1177
2013,10,29,8171,963
2013,10,30,7338,806
2013,10,31,7705,724
2013,11,1,7258,922
2013,11,2,6624,2866
2013,11,3,5619,2116
2013,11,4,6399,555
2013,11,5,7553,670
2013,11,6,8080,797
2013,11,7,7580,485
2013,11,8,6861,728
2013,11,9,5426,2192
2013,11,10,5194,2066
2013,11,11,6292,972
2013,11,12,5900,262
2013,11,13,6264,280
2013,11,14,6980,379
2013,11,15,6970,784
2013,11,16,5361,1530
2013,11,17,5579,1446
2013,11,18,7643,707
2013,11,19,7095,427
2013,11,20,6957,452
2013,11,21,7117,471
2013,11,22,7511,719
2013,11,23,4913,1267
2013,11,24,2857,370
2013,11,25,5050,310
2013,11,26,1850,51
2013,11,27,2220,44
2013,11,28,1215,388
2013,11,29,2232,724
2013,11,30,2258,784
2013,12,1,3065,662
2013,12,2,6101,284
2013,12,3,7106,417
2013,12,4,7237,437
2013,12,5,7661,582
2013,12,6,2831,145
2013,12,7,4335,596
2013,12,8,1288,88
2013,12,9,3406,67
2013,12,10,2625,99
2013,12,11,5306,224
2013,12,12,4975,158
2013,12,13,5440,246
2013,12,14,2575,253
2013,12,15,3815,539
2013,12,16,5430,239
2013,12,17,5205,202
2013,12,18,5548,292
2013,12,19,6235,481
2013,12,20,5995,580
2013,12,21,4657,1838
2013,12,22,2189,660
2013,12,23,1872,159
2013,12,24,2093,276
2013,12,25,658,354
2013,12,26,2044,425
2013,12,27,2818,801
2013,12,28,2514,1936
2013,12,29,1171,289
2013,12,30,3726,674
2013,12,31,3634,531
2014,1,1,2311,729
2014,1,2,3068,288
2014,1,3,1559,75
2014,1,4,2123,158
2014,1,5,1945,135
2014,1,6,3430,123
2014,1,7,2301,29
2014,1,8,3901,75
2014,1,9,4802,190
2014,1,10,1780,81
2014,1,11,1887,97
2014,1,12,4468,999
2014,1,13,6187,732
2014,1,14,4781,345
2014,1,15,5994,516
2014,1,16,5682,385
2014,1,17,5653,532
2014,1,18,2942,410
2014,1,19,3425,720
2014,1,20,4488,880
2014,1,21,1721,45
2014,1,22,1450,13
2014,1,23,2416,34
2014,1,24,2611,40
2014,1,25,2199,94
2014,1,26,2458,130
2014,1,27,4466,69
2014,1,28,3121,39
2014,1,29,3127,58
2014,1,30,4141,68
2014,1,31,5240,239
2014,2,1,4642,767
2014,2,2,4635,836
2014,2,3,2432,61
2014,2,4,5096,130
2014,2,5,3684,116
2014,2,6,5093,150
2014,2,7,5227,220
2014,2,8,3689,390
2014,2,9,2934,212
2014,2,10,4355,127
2014,2,11,4602,181
2014,2,12,3902,85
2014,2,13,52,4
2014,2,14,1876,73
2014,2,15,1642,139
2014,2,16,2492,384
2014,2,17,3019,330
2014,2,18,4885,269
2014,2,19,5438,244
2014,2,20,6202,429
2014,2,21,5498,346
2014,2,22,5942,1954
2014,2,23,5311,841
2014,2,24,5164,295
2014,2,25,4438,157
2014,2,26,3856,102
2014,2,27,4781,159
2014,2,28,3970,173
2014,3,1,3796,808
2014,3,2,2991,540
2014,3,3,413,16
2014,3,4,2216,63
2014,3,5,4317,237
2014,3,6,4635,240
2014,3,7,4858,256
2014,3,8,5683,2811
2014,3,9,4491,1488
2014,3,10,5987,844
2014,3,11,7139,1307
2014,3,12,5586,702
2014,3,13,3809,213
2014,3,14,5915,1120
2014,3,15,6716,3755
2014,3,16,3608,1263
2014,3,17,1235,61
2014,3,18,4488,219
2014,3,19,3679,112
2014,3,20,6804,798
2014,3,21,6750,1007
2014,3,22,6257,4712
2014,3,23,4178,1186
2014,3,24,4916,519
2014,3,25,3014,105
2014,3,26,4732,248
2014,3,27,5891,621
2014,3,28,5844,897
2014,3,29,2011,287
2014,3,30,848,58
2014,3,31,6876,1392
2014,4,1,7969,1507
2014,4,2,7659,1328
2014,4,3,7756,1432
2014,4,4,7467,1505
2014,4,5,6215,4626
2014,4,6,6254,3678
2014,4,7,2693,149
2014,4,8,7859,1098
2014,4,9,8508,1485
2014,4,10,9007,2348
2014,4,11,8557,2982
2014,4,12,7832,7923
2014,4,13,7130,7448
2014,4,14,7639,3085
2014,4,15,1651,191
2014,4,16,6495,1356
2014,4,17,7198,1515
2014,4,18,7105,2323
2014,4,19,6111,5913
2014,4,20,5528,4099
2014,4,21,7721,2029
2014,4,22,7943,1262
2014,4,23,7827,1202
2014,4,24,8376,1609
2014,4,25,6110,1548
2014,4,26,6666,4961
2014,4,27,6665,4496
2014,4,28,5234,1253
2014,4,29,2940,208
2014,4,30,1759,57
2014,5,1,8419,1272
2014,5,2,8568,1881
2014,5,3,7092,4210
2014,5,4,6832,3810
2014,5,5,6771,1398
2014,5,6,8785,1745
2014,5,7,7718,931
2014,5,8,8963,1560
2014,5,9,8531,2008
2014,5,10,5739,2590
2014,5,11,6969,4123
2014,5,12,7779,1737
2014,5,13,8385,1661
2014,5,14,8282,1533
2014,5,15,7969,1518
2014,5,16,6569,1548
2014,5,17,7080,4254
2014,5,18,6719,3609
2014,5,19,8395,2139
2014,5,20,8889,2067
2014,5,21,7300,1301
2014,5,22,8604,1846
2014,5,23,8354,2178
2014,5,24,5502,5142
2014,5,25,5461,6745
2014,5,26,5779,5030
2014,5,27,6695,1632
2014,5,28,8530,1500
2014,5,29,4818,548
2014,5,30,8916,2014
2014,5,31,7683,4526
2014,6,1,7289,3786
2014,6,2,8603,1863
2014,6,3,8901,1618
2014,6,4,8765,1511
2014,6,5,9336,1518
2014,6,6,9772,2184
2014,6,7,7725,4277
2014,6,8,6896,3844
2014,6,9,8619,2004
2014,6,10,8149,1470
2014,6,11,7520,1214
2014,6,12,8147,1167
2014,6,13,8068,1522
2014,6,14,7728,4318
2014,6,15,7204,3983
2014,6,16,8701,1923
2014,6,17,8901,1723
2014,6,18,8570,1536
2014,6,19,8853,1717
2014,6,20,9336,2444
2014,6,21,6299,3640
2014,6,22,7134,3814
2014,6,23,8771,2213
2014,6,24,9343,1958
2014,6,25,8606,1705
2014,6,26,9350,1737
2014,6,27,8475,2274
2014,6,28,7038,3936
2014,6,29,6816,4119
2014,6,30,8524,2069
2014,7,1,8701,1898
2014,7,2,8008,1691
2014,7,3,6771,1925
2014,7,4,6023,6001
2014,7,5,5830,7098
2014,7,6,6060,4973
2014,7,7,8054,2111
2014,7,8,7246,1383
2014,7,9,7384,1516
2014,7,10,7257,1543
2014,7,11,8800,2546
2014,7,12,6717,4894
2014,7,13,5960,3475
2014,7,14,6725,1885
2014,7,15,6554,1375
2014,7,16,9143,2282
2014,7,17,9116,2593
2014,7,18,8658,3126
2014,7,19,6651,5247
2014,7,20,6269,4664
2014,7,21,8275,2852
2014,7,22,8696,2611
2014,7,23,8124,2191
2014,7,24,8404,2399
2014,7,25,8802,3619
2014,7,26,6557,5561
2014,7,27,5931,4158
2014,7,28,8152,2622
2014,7,29,8871,2573
2014,7,30,9024,2477
2014,7,31,8610,2496
2014,8,1,7764,2210
2014,8,2,5705,5214
2014,8,3,5994,3925
2014,8,4,8062,2938
2014,8,5,8282,2546
2014,8,6,8505,2604
2014,8,7,8597,2578
2014,8,8,8044,3327
2014,8,9,5733,4724
2014,8,10,5822,4960
2014,8,11,6911,2776
2014,8,12,5150,880
2014,8,13,8487,2532
2014,8,14,8470,2661
2014,8,15,8566,3482
2014,8,16,6532,5828
2014,8,17,6296,4385
2014,8,18,8328,2514
2014,8,19,8777,1869
2014,8,20,7328,1928
2014,8,21,7830,2020
2014,8,22,8149,2205
2014,8,23,4468,2045
2014,8,24,7090,3843
2014,8,25,8715,2145
2014,8,26,9067,1921
2014,8,27,9170,2078
2014,8,28,9155,2016
2014,8,29,8885,2848
2014,8,30,5363,4946
2014,8,31,4477,4549
2014,9,1,7151,1254
2014,9,2,7963,754
2014,9,3,7899,2645
2014,9,4,7298,3631
2014,9,5,7820,3289
2014,9,6,7660,1776
2014,9,7,10231,1134
2014,9,8,9377,1116
2014,9,9,9719,1371
2014,9,10,8622,2749
2014,9,11,7353,3755
2014,9,12,9144,3139
2014,9,13,6984,1318
2014,9,14,10517,1534
2014,9,15,9803,1674
2014,9,16,10339,1923
2014,9,17,9480,2284
2014,9,18,7796,3831
2014,9,19,9381,2591
2014,9,20,10817,2018
2014,9,21,9518,1350
2014,9,22,9799,1341
2014,9,23,9894,1836
2014,9,24,7028,2369
2014,9,25,4680,2037
2014,9,26,9028,3259
2014,9,27,10894,1887
2014,9,28,9454,1580
2014,9,29,8987,1752
2014,9,30,8018,3746
2014,10,1,9427,1229
2014,10,2,10330,1504
2014,10,3,9359,1688
2014,10,4,7383,3371
2014,10,5,6954,2809
2014,10,6,9105,1656
2014,10,7,8459,1122
2014,10,8,9930,1435
2014,10,9,9742,1614
2014,10,10,6939,1304
2014,10,11,4203,1571
2014,10,12,6035,3492
2014,10,13,5615,1080
2014,10,14,9460,1560
2014,10,15,5713,444
2014,10,16,9002,1180
2014,10,17,9414,2660
2014,10,18,7002,3938
2014,10,19,5947,2274
2014,10,20,8329,1203
2014,10,21,6818,747
2014,10,22,4204,240
2014,10,23,8793,1055
2014,10,24,8847,1716
2014,10,25,7505,3830
2014,10,26,7049,3309
2014,10,27,9045,1577
2014,10,28,10288,1419
2014,10,29,8735,771
2014,10,30,9260,887
2014,10,31,8535,1131
2014,11,1,5002,1128
2014,11,2,4803,895
2014,11,3,8041,620
2014,11,4,9171,750
2014,11,5,8541,700
2014,11,6,6968,422
2014,11,7,7936,846
2014,11,8,5879,1773
2014,11,9,5940,2002
2014,11,10,8233,1175
2014,11,11,9169,1722
2014,11,12,8850,779
2014,11,13,6707,486
2014,11,14,6598,479
2014,11,15,4799,1217
2014,11,16,3922,861
2014,11,17,3964,169
2014,11,18,5300,271
2014,11,19,5843,194
2014,11,20,6986,311
2014,11,21,5999,414
2014,11,22,4719,908
2014,11,23,4540,1107
2014,11,24,8200,1070
2014,11,25,7316,888
2014,11,26,1394,53
2014,11,27,1439,432
2014,11,28,2126,521
2014,11,29,2686,1010
2014,11,30,4051,973
2014,12,1,5922,460
2014,12,2,2625,57
2014,12,3,6724,223
2014,12,4,7046,345
2014,12,5,5754,279
2014,12,6,2417,287
2014,12,7,4611,703
2014,12,8,5809,263
2014,12,9,3245,75
2014,12,10,6488,261
2014,12,11,6084,293
2014,12,12,6387,446
2014,12,13,4941,738
2014,12,14,4556,755
2014,12,15,7152,555
2014,12,16,5796,212
2014,12,17,6938,496
2014,12,18,6129,241
2014,12,19,5610,308
2014,12,20,3447,442
2014,12,21,2997,622
2014,12,22,2846,155
2014,12,23,3531,224
2014,12,24,1167,57
2014,12,25,883,779
2014,12,26,1778,1170
2014,12,27,2068,2151
2014,12,28,1761,1127
2014,12,29,4013,1175
2014,12,30,4540,803
2014,12,31,3704,550
